product_name,brand,ratings,num_of_reviews,old_price,product_price
"Garnier Fructis Pure Clean Fortifying Shampoo, With Aloe and Vitamin E Extract - 12.5 fl oz",Garnier Fructis Pure Clean,4.0,1375.0,0.0,5.49
Walgreens Cool Mist Humidifier - 1 ea,Walgreens,3.5,232.0,0.0,31.99
Bausch + Lomb Lumify Redness Reliever Eye Drops - 0.08 fl oz,Bausch + Lomb Lumify,4.5,2562.0,0.0,18.99
Bausch + Lomb Biotrue Multi-Purpose Solution - 10 oz x 2 pack,Bausch + Lomb,4.5,694.0,0.0,19.99
"Tampax Pearl Tampons, with LeakGuard Braid No scent, Ultra Absorbency - 18 ea",Tampax Pearl,4.5,1245.0,0.0,6.99
"Depend Incontinence Guards for Men, Maximum Absorbency - 52 ea",Depend,4.0,639.0,0.0,18.99
"Olay Age Defy Age Defy Bar Soap, Vitamin E 6 bars, 3.75 oz each - 3.75 oz x 6 pack",Olay Age Defy,4.0,341.0,0.0,8.29
Opti-Free RepleniSH Multi-Purpose Disinfection Solution Value Pack - 2 ea x 2 pack,Opti-Free,4.5,231.0,0.0,19.99
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented - 8 fl oz,CeraVe,4.5,8791.0,0.0,14.99
CeraVe Healing Ointment - 5 oz,CeraVe,4.5,1415.0,0.0,12.99
"Oral-B Super Floss Pre-Cut Strands, Dental Floss for Bridges, Braces and Wide Spaces Mint - 50 ea",Oral-B,3.5,419.0,0.0,4.0
Crest Pro-Health Advanced Gum Protection Toothpaste - 3.5 oz,Crest Pro-Health Advanced,4.0,459.0,0.0,4.0
Rogaine Men's 5% Minoxidil Foam For Hair Regrowth Unscented - 2.11 oz x 3 pack,Rogaine,3.5,923.0,0.0,74.99
"Oral-B EssentialFloss, Cavity Defense Mint - 54 yd",Oral-B,4.5,187.0,0.0,2.79
"Walgreens Certainty Premium Underpads, Day & Night Protection, Ultimate Absorbency X-Large - 8 ea",Walgreens Certainty,4.5,313.0,0.0,12.99
Sudafed PE Day + Night Maximum Strength Sinus Decongestant - 20 ea,Sudafed,4.0,198.0,0.0,10.99
Vanicream Gentle Body Wash Fragrance Free - 12 fl oz,Vanicream,4.5,185.0,0.0,11.99
